config,batch,in_features,out_features,weight_mb,runtime,time_ms,std_ms,gpu
4Kx4K (b=1),1,4096,4096,64,CUDA C FP32 (TF32=OFF),0.269,,NVIDIA RTX A3000 Laptop GPU
4Kx4K (b=1),1,4096,4096,64,CUDA C FP32 (TF32=ON),0.269,,NVIDIA RTX A3000 Laptop GPU
4Kx4K (b=1),1,4096,4096,64,CUDA C INT8 IGEMM,0.084,,NVIDIA RTX A3000 Laptop GPU
4Kx11K (b=1),1,4096,11264,172,CUDA C FP32 (TF32=OFF),0.714,,NVIDIA RTX A3000 Laptop GPU
4Kx11K (b=1),1,4096,11264,172,CUDA C FP32 (TF32=ON),0.714,,NVIDIA RTX A3000 Laptop GPU
4Kx11K (b=1),1,4096,11264,172,CUDA C INT8 IGEMM,0.204,,NVIDIA RTX A3000 Laptop GPU
8Kx8K (b=1),1,8192,8192,256,CUDA C FP32 (TF32=OFF),1.060,,NVIDIA RTX A3000 Laptop GPU
8Kx8K (b=1),1,8192,8192,256,CUDA C FP32 (TF32=ON),1.060,,NVIDIA RTX A3000 Laptop GPU
8Kx8K (b=1),1,8192,8192,256,CUDA C INT8 IGEMM,0.311,,NVIDIA RTX A3000 Laptop GPU
4Kx11K (b=32),32,4096,11264,172,CUDA C FP32 (TF32=OFF),0.840,,NVIDIA RTX A3000 Laptop GPU
4Kx11K (b=32),32,4096,11264,172,CUDA C FP32 (TF32=ON),0.740,,NVIDIA RTX A3000 Laptop GPU
4Kx11K (b=32),32,4096,11264,172,CUDA C INT8 IGEMM,0.194,,NVIDIA RTX A3000 Laptop GPU
8Kx8K (b=32),32,8192,8192,256,CUDA C FP32 (TF32=OFF),1.181,,NVIDIA RTX A3000 Laptop GPU
8Kx8K (b=32),32,8192,8192,256,CUDA C FP32 (TF32=ON),1.088,,NVIDIA RTX A3000 Laptop GPU
8Kx8K (b=32),32,8192,8192,256,CUDA C INT8 IGEMM,0.282,,NVIDIA RTX A3000 Laptop GPU
