config,batch,in_features,out_features,weight_mb,runtime,time_ms,std_ms,gpu
4Kx4K (b=1),1,4096,4096,64,ONNX FP32 CPU,1.6271,0.4842,NVIDIA RTX A3000 Laptop GPU
4Kx4K (b=1),1,4096,4096,64,ONNX FP32 GPU,1.4609,1.1286,NVIDIA RTX A3000 Laptop GPU
4Kx4K (b=1),1,4096,4096,64,ONNX INT8 CPU,0.1466,0.0382,NVIDIA RTX A3000 Laptop GPU
4Kx11K (b=1),1,4096,11008,172,ONNX FP32 CPU,5.1271,1.0363,NVIDIA RTX A3000 Laptop GPU
4Kx11K (b=1),1,4096,11008,172,ONNX FP32 GPU,0.8441,0.0229,NVIDIA RTX A3000 Laptop GPU
4Kx11K (b=1),1,4096,11008,172,ONNX INT8 CPU,0.7282,0.2172,NVIDIA RTX A3000 Laptop GPU
8Kx8K (b=1),1,8192,8192,256,ONNX FP32 CPU,8.3694,0.7786,NVIDIA RTX A3000 Laptop GPU
8Kx8K (b=1),1,8192,8192,256,ONNX FP32 GPU,1.2229,0.0195,NVIDIA RTX A3000 Laptop GPU
8Kx8K (b=1),1,8192,8192,256,ONNX INT8 CPU,1.3666,0.2201,NVIDIA RTX A3000 Laptop GPU
4Kx11K (b=32),32,4096,11008,172,ONNX FP32 CPU,5.3506,0.6087,NVIDIA RTX A3000 Laptop GPU
4Kx11K (b=32),32,4096,11008,172,ONNX FP32 GPU,1.4370,0.1597,NVIDIA RTX A3000 Laptop GPU
4Kx11K (b=32),32,4096,11008,172,ONNX INT8 CPU,2.4014,0.2143,NVIDIA RTX A3000 Laptop GPU
