config,batch,in_features,out_features,weight_mb,runtime,time_ms,std_ms,gpu
4Kx4K (b=1),1,4096,4096,64,FP32 baseline,0.2691,0.0223,NVIDIA RTX A3000 Laptop GPU
4Kx4K (b=1),1,4096,4096,64,INT8 Weight-Only (current),0.6325,0.0145,NVIDIA RTX A3000 Laptop GPU
4Kx4K (b=1),1,4096,4096,64,INT8 Dynamic Act+Weight,2.4453,0.2544,NVIDIA RTX A3000 Laptop GPU
4Kx4K (b=1),1,4096,4096,64,FP32 + torch.compile,1.8520,0.4705,NVIDIA RTX A3000 Laptop GPU
4Kx4K (b=1),1,4096,4096,64,FP16 Tensor Core,0.1399,0.0061,NVIDIA RTX A3000 Laptop GPU
4Kx11K (b=1),1,4096,11008,172,FP32 baseline,0.7123,0.0112,NVIDIA RTX A3000 Laptop GPU
4Kx11K (b=1),1,4096,11008,172,INT8 Weight-Only (current),1.6766,0.0270,NVIDIA RTX A3000 Laptop GPU
4Kx11K (b=1),1,4096,11008,172,INT8 Dynamic Act+Weight,3.9910,0.0899,NVIDIA RTX A3000 Laptop GPU
4Kx11K (b=1),1,4096,11008,172,FP32 + torch.compile,1.7875,0.4721,NVIDIA RTX A3000 Laptop GPU
4Kx11K (b=1),1,4096,11008,172,FP16 Tensor Core,0.3613,0.0086,NVIDIA RTX A3000 Laptop GPU
8Kx8K (b=1),1,8192,8192,256,FP32 baseline,1.0589,0.0182,NVIDIA RTX A3000 Laptop GPU
8Kx8K (b=1),1,8192,8192,256,INT8 Weight-Only (current),2.4849,0.0161,NVIDIA RTX A3000 Laptop GPU
8Kx8K (b=1),1,8192,8192,256,INT8 Dynamic Act+Weight,5.4471,0.0885,NVIDIA RTX A3000 Laptop GPU
8Kx8K (b=1),1,8192,8192,256,FP32 + torch.compile,1.7752,0.4519,NVIDIA RTX A3000 Laptop GPU
8Kx8K (b=1),1,8192,8192,256,FP16 Tensor Core,0.5340,0.0133,NVIDIA RTX A3000 Laptop GPU
4Kx11K (b=32),32,4096,11008,172,FP32 baseline,0.7391,0.0134,NVIDIA RTX A3000 Laptop GPU
4Kx11K (b=32),32,4096,11008,172,INT8 Weight-Only (current),1.7150,0.0152,NVIDIA RTX A3000 Laptop GPU
4Kx11K (b=32),32,4096,11008,172,INT8 Dynamic Act+Weight,3.8244,0.1961,NVIDIA RTX A3000 Laptop GPU
4Kx11K (b=32),32,4096,11008,172,torch._int_mm (raw Tensor Core),0.5347,0.0038,NVIDIA RTX A3000 Laptop GPU
4Kx11K (b=32),32,4096,11008,172,FP32 + torch.compile,1.8781,0.4618,NVIDIA RTX A3000 Laptop GPU
4Kx11K (b=32),32,4096,11008,172,FP16 Tensor Core,0.3780,0.0091,NVIDIA RTX A3000 Laptop GPU
